,Trip ID,User ID,Age
0,726765,168928,24.0
1,726765,34621,27.0
2,726765,25598,
3,726765,369791,23.0
4,726771,584260,23.0
5,726771,586680,25.0
6,726774,581472,18.0
7,726774,276216,20.0
8,726771,586683,23.0
9,726771,586684,24.0
10,726771,586673,23.0
11,726774,579506,22.0
12,726771,588510,25.0
13,726771,586703,23.0
14,726774,519392,18.0
15,726774,578320,18.0
16,726769,45191,25.0
17,726769,592391,25.0
18,726769,592367,24.0
19,726769,592374,23.0
20,726769,240835,24.0
21,726767,168525,21.0
22,726767,173982,21.0
23,726767,182529,25.0
24,726767,182791,20.0
25,726767,144721,23.0
26,726767,184922,21.0
27,726786,51289,28.0
28,726792,526767,25.0
29,726795,303502,26.0
30,726795,92138,27.0
31,726795,296178,27.0
32,726795,319028,28.0
33,726795,166134,33.0
34,726795,463589,29.0
35,726802,23999,
36,726813,88229,26.0
37,726802,588945,22.0
38,726802,586716,22.0
39,726813,154112,27.0
40,726813,504273,30.0
41,726802,586084,22.0
42,726813,590595,29.0
43,726802,584952,22.0
44,726813,168543,27.0
45,726802,584960,22.0
46,726813,590515,29.0
47,726813,590931,29.0
48,726813,169253,29.0
49,726802,584961,22.0
50,726802,586718,22.0
51,726813,527007,29.0
52,726802,586083,22.0
53,726802,584948,22.0
54,726820,588406,38.0
55,726820,566660,31.0
56,726820,566021,29.0
57,726820,589997,6.0
58,726814,364589,23.0
59,726814,356681,24.0
60,726814,30870,24.0
61,726814,537939,25.0
62,726814,257347,23.0
63,726814,364585,23.0
64,726814,424089,
65,726814,468689,24.0
66,726814,356545,23.0
67,726810,588207,26.0
68,726824,75631,22.0
69,726824,36452,24.0
70,726824,214852,21.0
71,726824,45567,23.0
72,726824,94288,21.0
73,726822,188303,24.0
74,726822,112349,27.0
75,726822,261844,24.0
76,726822,219003,24.0
77,726822,587713,24.0
78,726822,591960,24.0
79,726822,587755,24.0
80,726822,587674,24.0
81,726822,587636,24.0
82,726848,440399,22.0
83,726835,306970,21.0
84,726853,410566,19.0
85,726853,458304,19.0
86,726853,118895,23.0
87,726853,431478,19.0
88,726836,591140,36.0
89,726836,584320,25.0
90,726836,591153,36.0
91,726836,591147,28.0
92,726836,591163,35.0
93,726836,591148,28.0
94,726836,591193,28.0
95,726836,591151,27.0
96,726836,591150,39.0
97,726836,591162,29.0
98,726829,80475,21.0
99,726829,67285,21.0
100,726829,365001,22.0
101,726859,367205,21.0
102,726829,75830,21.0
103,726859,203759,21.0
104,726859,484643,21.0
105,726859,217783,21.0
106,726859,187569,21.0
107,726829,588377,21.0
108,726859,78761,21.0
109,726846,46283,25.0
110,726846,76807,21.0
111,726846,75576,22.0
112,726846,45145,25.0
113,726846,45068,21.0
114,726859,367301,21.0
115,726846,45463,21.0
116,726861,313997,20.0
117,726861,334356,19.0
118,726861,344786,20.0
119,726842,185263,22.0
120,726842,580073,23.0
121,726842,444671,22.0
122,726869,53424,
123,726842,195553,23.0
124,726869,369044,18.0
125,726869,384667,25.0
126,726869,579483,18.0
127,726869,239511,24.0
128,726869,453338,19.0
129,726869,583282,18.0
130,726869,584459,21.0
131,726869,585437,22.0
132,726869,585491,18.0
133,726871,584501,18.0
134,726871,585515,18.0
135,726871,443995,18.0
136,726856,193009,21.0
137,726856,114361,22.0
138,726856,260914,22.0
139,726856,126465,22.0
140,726856,254962,21.0
141,726874,428590,19.0
142,726874,428645,19.0
143,726856,219915,21.0
144,726874,428069,19.0
145,726874,427756,20.0
146,726874,428559,19.0
147,726874,592427,19.0
148,726874,592426,19.0
149,726874,460895,21.0
150,726874,428587,19.0
151,726875,582624,18.0
152,726875,592430,19.0
153,726874,592433,19.0
154,726875,592454,20.0
155,726879,118702,25.0
156,726879,157285,23.0
157,726879,40829,24.0
158,726879,61812,23.0
159,726879,251145,26.0
160,726879,158565,24.0
161,726879,115031,27.0
162,726879,251138,27.0
163,726875,592453,20.0
164,726888,23024,23.0
165,726875,592457,20.0
166,726888,31971,23.0
167,726875,592458,18.0
168,726888,592413,27.0
169,726888,60856,21.0
170,726875,592459,20.0
171,726866,30926,24.0
172,726866,105337,26.0
173,726866,36206,26.0
174,726880,255971,22.0
175,726880,197610,23.0
176,726895,592308,25.0
177,726895,163557,25.0
178,726880,197611,22.0
179,726895,415,
180,726895,254519,26.0
181,726895,592305,27.0
182,726895,592307,25.0
183,726895,592295,25.0
184,726887,63098,26.0
185,726898,94895,21.0
186,726898,483936,20.0
187,726898,414920,20.0
188,726898,446351,19.0
189,726898,325837,19.0
190,726898,138851,20.0
191,726905,216780,23.0
192,726905,445931,23.0
193,726905,487481,24.0
194,726905,60937,23.0
195,726905,546809,23.0
196,726892,131630,21.0
197,726892,131638,21.0
198,726892,592448,21.0
199,726892,592452,21.0
200,726905,320541,
201,726892,220906,21.0
202,726877,333914,22.0
203,726892,130706,21.0
204,726877,252286,20.0
205,726877,174139,20.0
206,726877,276653,22.0
207,726892,94258,24.0
208,726877,323354,20.0
209,726907,169138,23.0
210,726907,169144,24.0
211,726907,29660,24.0
212,726907,169135,24.0
